Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
172,Brian Robinson,RB,ATL,11,RB56,8,22,180.86,0,45.9,70.1,wide,2,handcuff w/ Bijan Robinson,22.14,yes,,,
173,Ryan Flournoy,WR,DAL,14,WR66,9,23,184.79,0,48.8,140.2,high,3,,28.45,yes,,,
174,New England Patriots,DEF,NE,11,DEF6,3,23,184.81,18,24.8,40.2,tight,,,7.69,yes,,,
175,Minnesota Vikings,DEF,MIN,6,DEF7,3,23,185.64,16,21.6,66.4,some,,,10.3,yes,,,
176,Travis Hunter,WR,JAX,7,WR67,8,23,185.69,0,104.7,119.3,high,4,,40.4,yes,,,
177,Pittsburgh Steelers,DEF,PIT,9,DEF8,4,23,186.26,15,25.3,52.7,some,,,8.38,yes,,,
178,T.J. Hockenson,TE,MIN,6,TE21,6,23,188.46,0,82.5,57.5,high,1,,26.44,yes,,,
179,Jalen Nailor,WR,LV,13,WR68,8,23,189.32,0,61.3,112.7,high,2,,32.57,yes,,,
180,Emmett Johnson,RB,KC,5,RB57,8,23,189.42,0,46.4,93.6,high,3,handcuff w/ Kenneth Walker,35.27,yes,ROOKIE,,
181,Jacksonville Jaguars,DEF,JAX,7,DEF9,4,23,189.59,10,38.6,90.4,wide,,,17.51,yes,,,
182,Dontayvion Wicks,WR,PHI,10,WR69,10,23,189.82,0,73.8,99.2,high,3,,33.6,yes,,,
183,Kayshon Boutte,WR,HOU,8,WR70,10,23,189.95,0,56.9,122.1,high,2,,31.88,yes,,,
184,Pat Bryant,WR,DEN,10,WR71,10,23,190.04,0,69,103,high,4,,31.78,yes,,,
185,Malik Washington,WR,MIA,6,WR72,10,24,190.91,0,62.9,98.1,high,1,,33.96,yes,,,
186,MarShawn Lloyd,RB,GB,11,RB58,8,24,191.43,0,66.4,135.6,high,2,handcuff w/ Josh Jacobs,51.82,yes,,,
187,Los Angeles Chargers,DEF,LAC,7,DEF10,4,24,193.6,4,31.6,162.4,wide,,,22.37,yes,,,
188,Ray Davis,RB,BUF,7,RB59,8,24,194.21,0,52.2,80.8,high,3,handcuff w/ James Cook,34.1,yes,,,
189,Jaylin Noel,WR,HOU,8,WR73,10,24,194.37,0,53.4,104.6,high,3,,27.85,yes,,,Questionable
190,Jacoby Brissett,QB,ARI,14,QB27,6,24,194.67,0,65.7,89.3,high,1,,38.75,yes,,,
191,Keenan Allen,WR,IND,13,WR74,8,24,195.1,0,104.1,107.9,high,3,,60,yes,,,
192,Sean Tucker,RB,TB,10,RB60,8,24,196.96,0,56,87,high,3,timeshare w/ Bucky Irving + Kenny Gainwell,35.7,yes,,,
193,Kimani Vidal,RB,LAC,7,RB61,9,24,199.59,0,43.6,126.4,high,3,handcuff w/ Omarion Hampton + Keaton Mitchell,35.07,yes,,,
194,Oronde Gadsden,TE,LAC,7,TE22,5,25,202.38,0,96.4,92.6,high,1,,43.31,yes,,,
195,Calvin Ridley,WR,TEN,9,WR75,8,25,203.24,0,67.2,108.8,high,3,,33.87,yes,,,
196,AJ Barner,TE,SEA,11,TE23,6,25,208.81,0,84.8,45.2,wide,1,,23.91,yes,,,
197,Baltimore Ravens,DEF,BAL,13,DEF11,2,26,,2,,,,,,,no,,,
198,Joe Flacco,QB,CIN,6,QB57,12,26,,0,,,,2,,,no,,,
199,Aaron Rodgers,QB,PIT,9,QB31,7,26,,0,,,,1,,,no,,,
200,Ben Roethlisberger,QB,PIT,9,QB29,7,26,,0,,,,,,,no,,,
201,Josh Johnson,QB,CIN,6,QB61,13,26,,0,,,,3,,,no,,,
202,Lee Smith,TE,ATL,11,TE197,40,26,,0,,,,,,,no,,,
203,Tyrod Taylor,QB,GB,11,QB75,16,26,,0,,,,2,,,no,,,
204,Andy Dalton,QB,PHI,10,QB91,19,26,,0,,,,2,,,no,,,
205,Kirk Cousins,QB,LV,13,QB38,9,26,,0,,,,2,,,no,,,
206,Geno Smith,QB,NYJ,13,QB30,7,26,,0,,,,1,,,no,,,
207,Darren Fells,TE,TB,10,TE198,41,26,,0,,,,,,,no,,,
208,Nick Williams,WR,DEN,10,WR373,48,26,,0,,,,,,,no,,,
209,Levine Toilolo,TE,NYG,8,TE199,41,26,,0,,,,,,,no,,,
210,Jack Doyle,TE,IND,13,TE89,19,26,,0,,,,,,,no,,,
211,Case Keenum,QB,CHI,10,QB95,20,26,,0,,,,3,,,no,,,
212,Blake Bortles,QB,NO,8,QB124,26,26,,0,,,,,,,no,,,
213,Allen Hurns,WR,MIA,6,WR374,48,26,,0,,,,,,,no,,,
214,Odell Beckham,WR,NYG,8,WR160,21,26,,0,,,,5,,,no,,,
215,Eric Ebron,TE,PIT,9,TE36,8,26,,0,,,,,,,no,,,
216,Jameis Winston,QB,NYG,8,QB49,11,26,,0,,,,2,,,no,,,
217,Marcus Mariota,QB,WAS,7,QB56,12,26,,0,,,,2,,,no,,,Questionable
218,Phillip Dorsett,WR,LV,13,WR341,44,26,,0,,,,6,,,no,,,
219,Ameer Abdullah,RB,JAX,7,RB134,18,26,,0,,,,5,,,no,,,
220,Darren Waller,TE,CAR,5,TE66,14,26,,0,,,,1,,,no,,,
221,Matt LaCosse,TE,NE,11,TE200,41,26,,0,,,,,,,no,,,
